#genome	all_coding_data	all_data	asm_name	ass_id	assembly_accession	assembly_level	bioproject	biosample	dwlf	faa_lname	ffn_lname	fna_lname	frn_lname	ftp_path	gbrs_paired_asm	genome	genome_rep	infraspecific_name	isolate	organism_name	outdir	paired_asm_comp	refseq_category	release_type	score_faa	score_fna	score_rrna	score_trna	seq_rel_date	species_taxid	submitter	taxid	taxonomy	version_status	wgs_master
G000870005	Y	Y	ViralProj17541	G000870005	GCF_000870005.1	Complete Genome	PRJNA17541		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000870005.1_ViralProj17541	G000870005.faa.bz2	G000870005.ffn.bz2	G000870005.fna.bz2	G000870005.frn.bz2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000870005.1_ViralProj17541	na	G000870005	Full			Synechococcus phage syn9	microbes	na	na	Major	0.1	1	0.1	0.1	2007/12/07	382359	NA	382359	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Myoviridae|g__T4likevirus|s__Synechococcus_phage_syn9	latest	NA
G000873425	Y	N	ViralProj20059	G000873425	GCF_000873425.1	Complete Genome	PRJNA20059		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000873425.1_ViralProj20059	G000873425.faa.bz2	G000873425.ffn.bz2	G000873425.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000873425.1_ViralProj20059	na	G000873425	Full			Bell pepper mottle virus	microbes	na	na	Major	0.1	1	0	0	2006/02/01	368735	NA	368735	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Virgaviridae|g__Tobamovirus|s__Bell_pepper_mottle_virus	latest	NA
G000929095	Y	N	ViralProj271783	G000929095	GCF_000929095.1	Complete Genome	PRJNA271783		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000929095.1_ViralProj271783	G000929095.faa.bz2	G000929095.ffn.bz2	G000929095.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000929095.1_ViralProj271783	na	G000929095	Full			Salmonella phage LSPA1	microbes	na	na	Major	0.1	1	0	0	2014/09/04	1540823	NA	1540823	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname|s__Salmonella_phage_LSPA1	latest	NA
G000902155	Y	N	ViralProj183161	G000902155	GCF_000902155.1	Complete Genome	PRJNA183161		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000902155.1_ViralProj183161	G000902155.faa.bz2	G000902155.ffn.bz2	G000902155.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000902155.1_ViralProj183161	na	G000902155	Full			Enterobacteria phage M	microbes	na	na	Major	0.1	1	0	0	2012/10/05	1235640	NA	1235640	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Leviviridae|g__Leviviridae_noname|s__Enterobacteria_phage_M	latest	NA
G000872485	Y	N	ViralMultiSegProj28327	G000872485	GCF_000872485.1	Complete Genome	PRJNA28327		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000872485.1_ViralMultiSegProj28327	G000872485.faa.bz2	G000872485.ffn.bz2	G000872485.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000872485.1_ViralMultiSegProj28327	na	G000872485	Full	strain=BeAn 119303		Cupixi mammarenavirus	microbes	na	na	Major	0.1	0.511	0	0	2008/01/09	208899	NA	208899	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Arenaviridae|g__Mammarenavirus|s__Cupixi_mammarenavirus	latest	NA
G000861165	Y	Y	ViralProj15288	G000861165	GCF_000861165.1	Complete Genome	PRJNA15288		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000861165.1_ViralProj15288	G000861165.faa.bz2	G000861165.ffn.bz2	G000861165.fna.bz2	G000861165.frn.bz2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000861165.1_ViralProj15288	na	G000861165	Full	strain=Human poliovirus 1 Mahoney		Enterovirus C	microbes	na	reference genome	Major	0.1	1	0.1	0.1	1993/04/21	138950	NA	138950	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Picornavirales|f__Picornaviridae|g__Enterovirus|s__Enterovirus_C	latest	NA
G000837145	Y	N	ViralProj14089	G000837145	GCF_000837145.1	Complete Genome	PRJNA14089		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000837145.1_ViralProj14089	G000837145.faa.bz2	G000837145.ffn.bz2	G000837145.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000837145.1_ViralProj14089	na	G000837145	Full		T3	Bombyx mori nucleopolyhedrovirus	microbes	na	na	Major	0.1	1	0	0	1996/02/17	271108	NA	271108	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Baculoviridae|g__Alphabaculovirus|s__Bombyx_mori_nucleopolyhedrovirus	latest	NA
G000882055	Y	N	ViralProj34735	G000882055	GCF_000882055.1	Complete Genome	PRJNA34735		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000882055.1_ViralProj34735	G000882055.faa.bz2	G000882055.ffn.bz2	G000882055.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000882055.1_ViralProj34735	na	G000882055	Full			Torque teno zalophus virus 1	microbes	na	na	Major	0.1	1	0	0	2009/02/26	1218490	NA	1218490	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Anelloviridae|g__Lambdatorquevirus|s__Torque_teno_zalophus_virus_1	latest	NA
G001308715	Y	N	ViralProj298072	G001308715	GCF_001308715.1	Complete Genome	PRJNA298072		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001308715.1_ViralProj298072	G001308715.faa.bz2	G001308715.ffn.bz2	G001308715.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001308715.1_ViralProj298072	na	G001308715	Full			Mycobacterium phage UncleHowie	microbes	na	na	Major	0.1	1	0	0	2009/08/13	663560	NA	663560	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname|s__Mycobacterium_phage_UncleHowie	latest	NA
G000848685	Y	N	ViralProj14739	G000848685	GCF_000848685.1	Complete Genome	PRJNA14739		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000848685.1_ViralProj14739	G000848685.faa.bz2	G000848685.ffn.bz2	G000848685.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000848685.1_ViralProj14739	na	G000848685	Full	strain=CV777		Porcine epidemic diarrhea virus	microbes	na	na	Major	0.1	1	0	0	2001/04/23	28295	NA	28295	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Nidovirales|f__Coronaviridae|g__Alphacoronavirus|s__Porcine_epidemic_diarrhea_virus	latest	NA
G000922855	Y	N	ViralProj251392	G000922855	GCF_000922855.1	Complete Genome	PRJNA251392		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000922855.1_ViralProj251392	G000922855.faa.bz2	G000922855.ffn.bz2	G000922855.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000922855.1_ViralProj251392	na	G000922855	Full			Lactococcus phage P118	microbes	na	na	Major	0.1	1	0	0	2014/04/02	1476888	NA	1476888	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname|s__Lactococcus_phage_P118	latest	NA
G000905315	Y	N	ViralProj193977	G000905315	GCF_000905315.1	Complete Genome	PRJNA193977		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000905315.1_ViralProj193977	G000905315.faa.bz2	G000905315.ffn.bz2	G000905315.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000905315.1_ViralProj193977	na	G000905315	Full		Con-161	Canine bocavirus 1	microbes	na	na	Major	0.1	1	0	0	2011/11/04	1511867	NA	1511885	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Parvoviridae|g__Bocaparvovirus|s__Carnivore_bocaparvovirus_2|t__Canine_bocavirus_1	latest	NA
G000843305	Y	N	ViralProj14324	G000843305	GCF_000843305.1	Complete Genome	PRJNA14324		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000843305.1_ViralProj14324	G000843305.faa.bz2	G000843305.ffn.bz2	G000843305.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000843305.1_ViralProj14324	na	G000843305	Full	strain=CJ0149		Callitrichine herpesvirus 3	microbes	na	na	Major	0.1	1	0	0	2002/11/07	106331	NA	106331	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Herpesvirales|f__Herpesviridae|g__Lymphocryptovirus|s__Callitrichine_herpesvirus_3	latest	NA
G000870505	Y	N	ViralProj18863	G000870505	GCF_000870505.1	Complete Genome	PRJNA18863		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000870505.1_ViralProj18863	G000870505.faa.bz2	G000870505.ffn.bz2	G000870505.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000870505.1_ViralProj18863	na	G000870505	Full	strain=HKU4-1 B04f		Tylonycteris bat coronavirus HKU4	microbes	na	na	Major	0.1	1	0	0	2007/02/02	694007	NA	694007	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Nidovirales|f__Coronaviridae|g__Betacoronavirus|s__Tylonycteris_bat_coronavirus_HKU4	latest	NA
G000908695	Y	N	ViralProj208538	G000908695	GCF_000908695.1	Complete Genome	PRJNA208538		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000908695.1_ViralProj208538	G000908695.faa.bz2	G000908695.ffn.bz2	G000908695.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000908695.1_ViralProj208538	na	G000908695	Full		PV77	Human papillomavirus type 154	microbes	na	na	Major	0.1	1	0	0	2012/06/04	1195796	NA	1195796	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Papillomaviridae|g__Papillomaviridae_noname|s__Human_papillomavirus_type_154	latest	NA
G000839905	Y	Y	ViralProj14142	G000839905	GCF_000839905.1	Complete Genome	PRJNA14142		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000839905.1_ViralProj14142	G000839905.faa.bz2	G000839905.ffn.bz2	G000839905.fna.bz2	G000839905.frn.bz2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000839905.1_ViralProj14142	na	G000839905	Full			Listeria phage 2389	microbes	na	na	Major	0.1	1	0.1	0.1	2003/04/10	181007	NA	181007	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname|s__Listeria_phage_2389	latest	NA
G000919275	Y	Y	ViralProj240733	G000919275	GCF_000919275.1	Complete Genome	PRJNA240733		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000919275.1_ViralProj240733	G000919275.faa.bz2	G000919275.ffn.bz2	G000919275.fna.bz2	G000919275.frn.bz2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000919275.1_ViralProj240733	na	G000919275	Full	strain=Lilac		Mycobacterium phage Lilac	microbes	na	na	Major	0.1	1	0.1	0.1	2011/08/02	1070990	NA	1070990	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname|s__Mycobacterium_phage_Lilac	latest	NA
G000915555	Y	N	ViralProj239734	G000915555	GCF_000915555.1	Complete Genome	PRJNA239734		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000915555.1_ViralProj239734	G000915555.faa.bz2	G000915555.ffn.bz2	G000915555.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000915555.1_ViralProj239734	na	G000915555	Full			Pseudomonas phage vB_PaeP_Tr60_Ab31	microbes	na	na	Major	0.1	1	0	0	2014/02/18	1449437	NA	1449437	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Viruses_noname|g__Viruses_noname|s__Pseudomonas_phage_vB_PaeP_Tr60_Ab31	latest	NA
G001190555	Y	N	ViralProj291260	G001190555	GCF_001190555.1	Complete Genome	PRJNA291260		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001190555.1_ViralProj291260	G001190555.faa.bz2	G001190555.ffn.bz2	G001190555.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001190555.1_ViralProj291260	na	G001190555	Full		Bog9017_22	Microviridae Bog9017_22	microbes	na	na	Major	0.1	1	0	0	2015/05/22	1655651	NA	1655651	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Microviridae|g__Microviridae_noname|s__Microviridae_Bog9017_22	latest	NA
G000907715	Y	Y	ViralProj209065	G000907715	GCF_000907715.1	Complete Genome	PRJNA209065		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000907715.1_ViralProj209065	G000907715.faa.bz2	G000907715.ffn.bz2	G000907715.fna.bz2	G000907715.frn.bz2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000907715.1_ViralProj209065	na	G000907715	Full	strain=S-CAM8 06008BI06		Synechococcus phage S-CAM8	microbes	na	na	Major	0.1	1	0.1	0.1	2013/06/05	754038	NA	754038	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Myoviridae|g__Myoviridae_noname|s__Synechococcus_phage_S_CAM8	latest	NA
G000897415	Y	N	ViralProj171974	G000897415	GCF_000897415.1	Complete Genome	PRJNA171974		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000897415.1_ViralProj171974	G000897415.faa.bz2	G000897415.ffn.bz2	G000897415.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000897415.1_ViralProj171974	na	G000897415	Full			Leuconostoc phage Lmd1	microbes	na	na	Major	0.1	1	0	0	2012/07/27	1161930	NA	1161930	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname|s__Leuconostoc_phage_Lmd1	latest	NA
G000867985	Y	N	ViralProj18839	G000867985	GCF_000867985.1	Complete Genome	PRJNA18839		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000867985.1_ViralProj18839	G000867985.faa.bz2	G000867985.ffn.bz2	G000867985.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000867985.1_ViralProj18839	na	G000867985	Full			Erwinia amylovora phage Era103	microbes	na	na	Major	0.1	1	0	0	2007/01/10	418443	NA	418443	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Podoviridae|g__Sp6likevirus|s__Erwinia_amylovora_phage_Era103	latest	NA
G001274125	Y	N	ViralProj293728	G001274125	GCF_001274125.1	Complete Genome	PRJNA293728		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001274125.1_ViralProj293728	G001274125.faa.bz2	G001274125.ffn.bz2	G001274125.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001274125.1_ViralProj293728	na	G001274125	Full		I0351	Paramuricea placomus associated circular virus	microbes	na	na	Major	0.1	1	0	0	2015/08/11	1692260	NA	1692260	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Circoviridae|g__Circoviridae_noname|s__Paramuricea_placomus_associated_circular_virus	latest	NA
G000854045	Y	N	ViralProj14998	G000854045	GCF_000854045.1	Complete Genome	PRJNA14998		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000854045.1_ViralProj14998	G000854045.faa.bz2	G000854045.ffn.bz2	G000854045.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000854045.1_ViralProj14998	na	G000854045	Full	strain=S27-African prototype		Chikungunya virus	microbes	na	na	Major	0.1	1	0	0	2003/01/14	37124	NA	37124	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Togaviridae|g__Alphavirus|s__Chikungunya_virus	latest	NA
G001275455	Y	N	ViralProj57809	G001275455	GCF_001275455.1	Complete Genome	PRJNA57809	SAMN02641564	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001275455.1_ViralProj57809	G001275455.faa.bz2	G001275455.ffn.bz2	G001275455.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001275455.1_ViralProj57809	na	G001275455	Full			Chlamydia pneumoniae phage CPAR39	microbes	na	na	Major	0.1	1	0	0	2000/03/07	117575	NA	117575	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Microviridae|g__Chlamydiamicrovirus|s__Chlamydia_pneumoniae_phage_CPAR39	latest	NA
G000910755	Y	N	ViralMultiSegProj214691	G000910755	GCF_000910755.1	Complete Genome	PRJNA214691		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000910755.1_ViralMultiSegProj214691	G000910755.faa.bz2	G000910755.ffn.bz2	G000910755.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000910755.1_ViralMultiSegProj214691	na	G000910755	Full		EV-11	Broad bean true mosaic virus	microbes	na	na	Major	0.1	0.49	0	0	2010/06/11	649890	NA	649890	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Picornavirales|f__Secoviridae|g__Comovirus|s__Broad_bean_true_mosaic_virus	latest	NA
G000887815	Y	N	ViralProj60733	G000887815	GCF_000887815.1	Complete Genome	PRJNA60733		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000887815.1_ViralProj60733	G000887815.faa.bz2	G000887815.ffn.bz2	G000887815.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000887815.1_ViralProj60733	na	G000887815	Full		SatA7	Ageratum leaf curl Cameroon alphasatellite	microbes	na	na	Major	0.1	1	0	0	2010/12/02	743035	NA	743035	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Viruses_noname|g__Viruses_noname|s__Ageratum_leaf_curl_Cameroon_alphasatellite	latest	NA
G000916235	Y	N	ViralProj239737	G000916235	GCF_000916235.1	Complete Genome	PRJNA239737		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000916235.1_ViralProj239737	G000916235.faa.bz2	G000916235.ffn.bz2	G000916235.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000916235.1_ViralProj239737	na	G000916235	Full		IIV22Aberystwyth	Invertebrate iridescent virus 22	microbes	na	na	Major	0.14	1	0	0	2014/02/27	345198	NA	345198	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Iridoviridae|g__Iridovirus|s__Invertebrate_iridescent_virus_22	latest	NA
G000865465	Y	N	ViralProj16383	G000865465	GCF_000865465.1	Complete Genome	PRJNA16383		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000865465.1_ViralProj16383	G000865465.faa.bz2	G000865465.ffn.bz2	G000865465.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000865465.1_ViralProj16383	na	G000865465	Full			Pseudomonas phage F10	microbes	na	na	Major	0.1	1	0	0	2005/09/26	347324	NA	347324	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname|s__Pseudomonas_phage_F10	latest	NA
G000837165	Y	N	ViralProj14093	G000837165	GCF_000837165.1	Complete Genome	PRJNA14093		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000837165.1_ViralProj14093	G000837165.faa.bz2	G000837165.ffn.bz2	G000837165.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000837165.1_ViralProj14093	na	G000837165	Full			Vibrio phage VfO3K6	microbes	na	na	Major	0.1	1	0	0	2000/06/05	127507	NA	127507	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Inoviridae|g__Inovirus|s__Vibrio_phage_VfO3K6	latest	NA
G000904995	Y	Y	ViralProj185314	G000904995	GCF_000904995.1	Complete Genome	PRJNA185314		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000904995.1_ViralProj185314	G000904995.faa.bz2	G000904995.ffn.bz2	G000904995.fna.bz2	G000904995.frn.bz2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000904995.1_ViralProj185314	na	G000904995	Full			Klebsiella phage KP27	microbes	na	na	Major	0.1	1	0.1	0.1	2012/01/05	1129147	NA	1129147	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Myoviridae|g__T4likevirus|s__Klebsiella_phage_KP27	latest	NA
G000902835	Y	N	ViralProj183906	G000902835	GCF_000902835.1	Complete Genome	PRJNA183906		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000902835.1_ViralProj183906	G000902835.faa.bz2	G000902835.ffn.bz2	G000902835.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000902835.1_ViralProj183906	na	G000902835	Full		3161	Pan troglodytes verus polyomavirus 3	microbes	na	na	Major	0.1	1	0	0	2012/10/02	1236401	NA	1236401	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Polyomaviridae|g__Polyomavirus|s__Pan_troglodytes_verus_polyomavirus_3	latest	NA
G000853065	Y	N	ViralMultiSegProj14815	G000853065	GCF_000853065.1	Complete Genome	PRJNA14815		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000853065.1_ViralMultiSegProj14815	G000853065.faa.bz2	G000853065.ffn.bz2	G000853065.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000853065.1_ViralMultiSegProj14815	na	G000853065	Full	strain=V		Tomato aspermy virus	microbes	na	na	Major	0.1	0.307	0	0	2000/04/09	12315	NA	12315	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Bromoviridae|g__Cucumovirus|s__Tomato_aspermy_virus	latest	NA
G000906595	Y	N	ViralProj188545	G000906595	GCF_000906595.1	Complete Genome	PRJNA188545		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000906595.1_ViralProj188545	G000906595.faa.bz2	G000906595.ffn.bz2	G000906595.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000906595.1_ViralProj188545	na	G000906595	Full	strain=JCSC7401		Staphylococcus phage phi7401PVL	microbes	na	na	Major	0.1	1	0	0	2013/01/24	1165702	NA	1165702	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname|s__Staphylococcus_phage_phi7401PVL	latest	NA
G000924775	Y	N	ViralProj265903	G000924775	GCF_000924775.1	Complete Genome	PRJNA265903		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000924775.1_ViralProj265903	G000924775.faa.bz2	G000924775.ffn.bz2	G000924775.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000924775.1_ViralProj265903	na	G000924775	Full	strain=DPP53		Coastal Plains virus	microbes	na	na	Major	0.1	1	0	0	2010/05/14	764599	NA	764599	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Mononegavirales|f__Rhabdoviridae|g__Tibrovirus|s__Coastal_Plains_virus	latest	NA
G000910535	Y	Y	ViralProj212964	G000910535	GCF_000910535.1	Complete Genome	PRJNA212964		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000910535.1_ViralProj212964	G000910535.faa.bz2	G000910535.ffn.bz2	G000910535.fna.bz2	G000910535.frn.bz2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000910535.1_ViralProj212964	na	G000910535	Full	strain=phi10:1		Cellulophaga phage phi10:1	microbes	na	na	Major	0.1	1	0.1	0.1	2013/06/24	1327981	NA	1327981	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname|s__Cellulophaga_phage_phi10_1	latest	NA
G001505775	Y	N	ViralProj307929	G001505775	GCF_001505775.1	Complete Genome	PRJNA307929		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001505775.1_ViralProj307929	G001505775.faa.bz2	G001505775.ffn.bz2	G001505775.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001505775.1_ViralProj307929	na	G001505775	Full			Vibrio phage phi 1	microbes	na	na	Major	0.1	1	0	0	2015/01/27	1589297	NA	1589297	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Podoviridae|g__Podoviridae_noname|s__Vibrio_phage_phi_1	latest	NA
G000926255	Y	N	ViralProj263031	G000926255	GCF_000926255.2	Complete Genome	PRJNA263031		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000926255.2_ViralProj263031	G000926255.faa.bz2	G000926255.ffn.bz2	G000926255.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000926255.2_ViralProj263031	na	G000926255	Full	strain=NSref		Leptopilina boulardi Toti-like virus	microbes	na	na	Major	0.1	1	0	0	2015/02/13	1353795	NA	1353795	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Totiviridae|g__Totiviridae_noname|s__Leptopilina_boulardi_Toti_like_virus	latest	NA
G001589915	Y	N	ViralProj314658	G001589915	GCF_001589915.1	Complete Genome	PRJNA314658		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001589915.1_ViralProj314658	G001589915.faa.bz2	G001589915.ffn.bz2	G001589915.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001589915.1_ViralProj314658	na	G001589915	Full		LSaCV-46-LSSO-2013	Lake Sarah-associated circular virus-46	microbes	na	na	Major	0.1	1	0	0	2015/09/16	1685775	NA	1685775	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Viruses_noname|g__Viruses_noname|s__Lake_Sarah_associated_circular_virus_46	latest	NA
G000914095	Y	N	ViralProj230604	G000914095	GCF_000914095.1	Complete Genome	PRJNA230604		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000914095.1_ViralProj230604	G000914095.faa.bz2	G000914095.ffn.bz2	G000914095.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000914095.1_ViralProj230604	na	G000914095	Full			Pseudomonas phage PAK_P4	microbes	na	na	Major	0.1	1	0	0	2013/07/25	1327966	NA	1327966	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Myoviridae|g__Myoviridae_noname|s__Pseudomonas_phage_PAK_P4	latest	NA
G000857765	Y	N	ViralProj15083	G000857765	GCF_000857765.1	Complete Genome	PRJNA15083		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000857765.1_ViralProj15083	G000857765.faa.bz2	G000857765.ffn.bz2	G000857765.fna.bz2		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000857765.1_ViralProj15083	na	G000857765	Full			Grapevine virus B	microbes	na	na	Major	0.1	1	0	0	1995/11/13	35289	NA	35289	k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Tymovirales|f__Betaflexiviridae|g__Vitivirus|s__Grapevine_virus_B	latest	NA
